text,sentiment,sentiment_label
@VirginAmerica What @dhepburn said.,0.0,Neutral
@VirginAmerica plus you've added commercials to the experience... tacky.,0.0,Neutral
@VirginAmerica I didn't today... Must mean I need to take another trip!,0.0,Neutral
"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",-0.2716,Negative
@VirginAmerica and it's a really big bad thing about it,-0.5829,Negative
"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",-0.5945,Negative
"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",0.6908,Positive
"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",0.079,Positive
"@virginamerica Well, I didn't…but NOW I DO! :-D",0.7525,Positive
"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",0.7717,Positive
@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,-0.8555,Negative
@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,0.8863,Positive
@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,0.6892,Positive
@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,0.2244,Positive
@VirginAmerica Thanks!,0.4926,Positive
@VirginAmerica SFO-PDX schedule is still MIA.,-0.4466,Negative
@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,-0.5566,Negative
@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,0.5754,Positive
I ❤️ flying @VirginAmerica. ☺️👍,0.4588,Positive
@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,0.8795,Positive
@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,0.0,Neutral
@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,0.6369,Positive
@VirginAmerica I love the hipster innovation. You are a feel good brand.,0.8658,Positive
@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,-0.296,Negative
@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,0.6486,Positive
@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,-0.296,Negative
@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,-0.5848,Negative
@VirginAmerica do you miss me? Don't worry we'll be together very soon.,0.2037,Positive
@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,0.5859,Positive
@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,-0.0516,Negative
"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",-0.8096,Negative
@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,0.0,Neutral
"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",0.2714,Positive
"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",-0.4404,Negative
@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,0.6588,Positive
Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,0.4215,Positive
@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,0.9323,Positive
"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",0.6988,Positive
@VirginAmerica when can I book my flight to Hawaii??,0.0,Neutral
@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,0.4019,Positive
"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",0.0,Neutral
"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",0.6049,Positive
@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,0.826,Positive
